smiles,molecular_weight,num_h_donors,num_h_acceptors,num_rotatable_bonds,logp,pIC50
ClC1=CC(NC(=O)CSC2=NC=CC(=N2)C2=CSC(=N2)C2=CC=CC=C2)=CC(Cl)=C1,473.4100000000001,1,6,6,6.304700000000003,-0.477121255
CN1N=C(C=C1C(F)(F)F)C1=CC=C(S1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,509.9660000000002,1,7,6,6.008600000000003,-1.0
CSC1=C(C(C)=C(S1)C1=NC(C)=CS1)C1=CC=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,519.1420000000002,1,8,7,7.051540000000005,-1.041392685
CC1=NC(=CS1)C1=NC(=CS1)C1=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=NC=C1,460.0090000000002,1,8,6,5.416220000000003,-1.146128036
ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=CC=CC=C2)C=C1,422.8970000000001,1,6,6,5.182800000000003,-1.176091259
FC(F)(F)C1=CC=C(NC(=O)CSC2=NC(=CC=N2)C2=CC(=NO2)C2=CC=C(Cl)C=C2Cl)C=C1,525.3390000000002,1,6,6,6.855000000000002,-1.176091259
ClC1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CC(=NO2)C2=C(Cl)C=CC=C2)C=C1,457.3420000000001,1,6,6,5.8362000000000025,-1.176091259
CCCC1=CC(Cl)=NC(SCC(=O)NC2=CC=C(Cl)C=C2)=N1,356.27799999999996,1,4,6,4.466700000000003,-1.477121255
COC1=CC(=CC=C1)C1=C(C#N)C(=O)NC(SCC(=O)NC2=CC=C(C=C2)S(N)(=O)=O)=N1,471.5200000000002,3,8,7,1.6953799999999997,-1.602059991
CC(C)C1=CC=C(NC(=O)CSC2=NC(=CC=N2)C2=CC=CS2)C=C1,369.51500000000004,1,5,6,5.059300000000004,-1.602059991
COC1=C(OC)C=C(NC(=O)CSC2=NC(O)=CC(=N2)C2=CC=CC=C2)C=C1,397.4560000000001,2,7,7,3.5972000000000017,-1.653212514
COC1=CC=CC(=C1)C1=C(C#N)C(=O)NC(SCC(=O)NC2=CC=C(C=C2)C(C)=O)=N1,434.4770000000002,2,7,7,3.250580000000001,-1.77815125
CCC(SC1=NC(C2=CC=CC(OC)=C2)=C(C#N)C(=O)N1)C(=O)NC1=CC=CC(=C1)C(C)=O,462.5310000000002,2,7,8,4.029180000000002,-1.77815125
CC1=CC(=O)NC(SCC(=O)NC2=C(OC3=CC=CC=C3)C=CC(Cl)=C2)=N1,401.87500000000006,2,5,6,4.254820000000003,-2.0
CC1=CC(O)=NC(SCC(=O)NC2=CC=C(OC3=CC=C(Cl)C=C3)C=C2)=N1,401.87500000000006,2,6,6,4.667120000000002,-2.301029996
CC(C)C1=CC=C(NC(=O)CSC2=NC=CC(=N2)C2=CSC(COC3=C(Cl)C=CC=C3)=N2)C=C1,511.0720000000002,1,7,9,6.686700000000005,-2.301029996
COC(OC)C1=CC(O)=NC(SCC(=O)NC2=CC=C(C=C2)C(F)(F)F)=N1,403.38200000000006,2,7,7,3.223200000000001,-2.301029996
CCCCC1=CC=C(NC(=O)CSC2=NC(C3CCCCC3)=C(C#N)C(=O)N2)C(C)=C1,438.5970000000003,2,5,8,5.071100000000004,-2.301029996
FC(F)(F)C1=CC=CC(NC(=O)CSC2=NC(C3=CC=CC=C3)=C(C#N)C(=O)N2)=C1,430.4110000000001,2,5,5,4.058180000000002,-2.301029996
CCOC(=O)C1=CN=C(SCC(=O)NC2=CC=C(C=C2)[N+]([O-])=O)N=C1N,377.3820000000001,2,9,7,1.8744999999999998,-2.397940009
CCOC1=CC=C(C=C1)N1C(=O)CC(SC2=NC(C)=CC(C)=N2)C1=O,357.4350000000001,0,6,5,2.916340000000001,-2.477121255
CC(SC1=NC(C2=CC=CC=C2)=C(C#N)C(=O)N1)C(=O)NC1=CC=C(Cl)C=C1,410.8860000000001,2,5,5,4.081280000000002,-2.477121255
CC(C)(C)C1=CC=C(NC(=O)CSC2=NC(C3CCCCC3)=C(C#N)C(=O)N2)C=C1,424.5700000000003,2,5,5,4.717580000000003,-2.544068044
COC1=CC=C(C=C1)C1=NC(SCC(=O)NC2=CC=C(C=C2)C(C)C)=NC=C1,393.51200000000006,1,5,7,5.006400000000004,-2.602059991
CC1=NC(SCC(=O)NC2=CC=C(Cl)C=C2F)=NC(=C1)C(F)(F)F,379.766,1,4,4,4.327120000000002,-2.698970004
CC1=COC2=C1C(=O)C(=O)C1=C3CCCC(C)(CO)C3=CC=C21,310.349,1,4,1,3.2203200000000027,-1.394451681
COC(=O)C1(C)CCCC2=C3C(=O)C(=O)C4=C(OC=C4C)C3=CC=C12,338.35900000000004,0,5,1,3.4010200000000026,-1.324282455
CC1COC2=C1C(=O)C(=O)C1=C3CCCC(C)(C)C3=CC=C21,296.366,0,3,0,3.4433000000000025,-2.35545152
CC1=COC2=C1C(=O)C(=O)C1=C2C=CC2=C(C)C=CC=C12,276.291,0,3,0,4.095640000000003,-1.587710965
CC1COC2=C1C(=O)C(=O)C1=C2C=CC2=C(C)C=CC=C12,278.307,0,3,0,3.2910200000000023,-1.158362492
CC(C)C1=CC2=CC=C3C(CCCC3(C)C)=C2C(=O)C1=O,282.3829999999999,0,2,1,4.105300000000003,-1.324282455
CC1=C(Cl)C=C(Cl)C(=C1)S(=O)(=O)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,459.1850000000001,0,6,4,4.969820000000002,0.522878745
ClC(Cl)=C(Cl)C(=O)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OC(=O)C(Cl)=C(Cl)Cl)C=C1,565.0410000000003,0,6,6,6.101200000000003,0.045757491
NC1=NC=C(C(N)=N1)S(=O)(=O)C1=CC=C(Cl)C=C1,284.728,2,6,2,1.1271999999999998,-0.77815125
[O-][N+](=O)C1=CC(=CC=C1S(=O)(=O)C1=CC=C(Cl)C=C1)C(F)(F)F,365.716,0,4,3,4.099800000000001,-1.079181246
CC1=C(C(C)=C(C#N)C(=N1)S(=O)(=O)C1=CC=CC=C1)[N+]([O-])=O,317.326,0,6,3,2.3111200000000007,-1.113943352
CC1=CC=C(C=C1)S(=O)(=O)C1=NC(C)=C(C(C)=C1C#N)[N+]([O-])=O,331.35300000000007,0,6,3,2.6195400000000006,-1.113943352
[O-][N+](=O)C1=C[N+]([O-])=C(C=C1)S(=O)(=O)C1=CC=C(Cl)C=C1,314.706,0,5,3,1.7144000000000001,-1.176091259
OC(=O)C1=CC=C(C=C1)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,436.077,2,4,3,3.448200000000001,-1.204119983
CC(=O)C1=CC=CC=C1S(=O)(=O)C1=CC=CC=C1C(O)=O,304.32300000000004,1,4,4,2.4202000000000004,-1.204119983
[O-][N+](=O)C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)[N+]([O-])=O,308.271,0,6,4,2.3358,-1.397940009
FC(F)(F)C1=NN=C(N1)SC(=O)C1=CC=C(O1)C#CC1=CC=CC=C1,363.3200000000001,1,5,2,3.748800000000002,-0.477121255
CN1N=C(C=C1C1=CC=C(S1)C(=O)NC1=C(C(C)=NO1)[N+]([O-])=O)C(F)(F)F,401.326,1,8,4,3.6243200000000018,-0.698970004
CC1=C(C=C(O1)C(C)(C)C)C1=NNC(NS(=O)(=O)C2=CC=CS2)=C1,365.4800000000001,2,5,4,4.137920000000003,-1.0
CSC1=NNC(NC(=O)C2=CC=CS2)=C1S(=O)(=O)C1=CC=C(Cl)C=C1,413.9330000000001,2,6,5,3.931600000000002,-1.176091259
CC1(C)CC2=C(SC(NCC3=CC=CO3)=C2C(=O)C1)C#N,300.3830000000001,1,5,3,3.979980000000003,-1.204119983
CSC1=NN(C2=C(C(C)=NN2C)[N+]([O-])=O)C(C2=CC=CS2)=C1C#N,360.42400000000004,0,9,4,3.1445000000000016,-1.255272505
ClC1=CC=C(S1)C1=CSC(CS(=O)(=O)C2=CC=CS2)=N1,361.922,0,6,4,4.560400000000001,-1.255272505
CN1N=C(C)C(=C1NCC1=CC=C(S1)C1=CC=CS1)[N+]([O-])=O,334.42600000000004,1,7,5,4.038820000000003,-1.301029996
O=C(CC1=NCCS1)C1=NC=CS1,212.29900000000004,0,5,3,1.8612,-1.602059991
ClC1=CC=C(C=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,334.158,0,4,3,4.867600000000002,1.200659451
[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,344.71000000000004,0,6,4,4.122400000000002,1.22184875
[O-][N+](=O)C1=C(C=CC=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,344.71000000000004,0,6,4,4.122400000000002,0.681936665
[O-][N+](=O)C1=CC=CC(=C1)C1=CC=C(O1)C(=O)OC1=CN=CC(Cl)=C1,344.71000000000004,0,6,4,4.122400000000002,0.301029996
ClC1=CC(OC(=O)C2=CC=NC=C2)=CN=C1,234.64200000000002,0,4,2,2.3491999999999997,0.785156152
ClC1=CC(OC(=O)C2=CN=CC=C2)=CN=C1,234.64200000000002,0,4,2,2.3491999999999997,0.156767222
[O-][N+](=O)C1=C(C=CC=C1)C(=O)OC1=CN=CC(Cl)=C1,278.65099999999995,0,5,3,2.862400000000001,0.477555766
[O-][N+](=O)C1=CC=CC(=C1)C(=O)OC1=CN=CC(Cl)=C1,278.65099999999995,0,5,3,2.862400000000001,0.164943898
ClC1=CC(OC(=O)C2=C3C=CC=CC3=CC=C2)=CN=C1,283.714,0,3,2,4.107400000000002,0.906578315
ClC1=CC(OC(=O)C2=CC3=C(OC2=O)C=CC=C3)=CN=C1,301.685,0,5,2,3.060600000000001,0.966576245
ClC1=CC(CN2CCN(CC2)S(=O)(=O)C2=CC3=C(NC(=O)C3=O)C=C2)=CC=C1,419.8900000000001,1,5,4,1.9813,-1.501196242
COC1=CC(CN2CCN(CC2)S(=O)(=O)C2=CC3=C(NC(=O)C3=O)C=C2)=CC(OC)=C1OC,475.52300000000025,1,8,7,1.3537000000000001,-1.50623436
O=C1NC2=C(C=C(C=C2)S(=O)(=O)N2CCN(CCC3=CC=CC=C3)CC2)C1=O,399.47200000000015,1,5,5,1.3703999999999996,-1.542949849
O=C(N1CCN(CC1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1)C1=CC=CO1,389.3890000000001,1,6,3,0.5610999999999988,-1.003029471
O=C1NC2=C(C=C(C=C2)S(=O)(=O)N2CCN(CC2)C2=CC=CC=N2)C1=O,372.40600000000006,1,6,3,0.7272999999999996,-1.710371264
O=C1NC2=C(C=C(C=C2)S(=O)(=O)N2CCOCC2)C1=O,296.304,1,5,2,-0.15770000000000017,-1.102433706
CC1CCN(CC1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1,308.35900000000004,1,4,2,1.242,-0.071882007
CC1CCCCN1S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1,308.35900000000004,1,4,2,1.3845,-0.352182518
CC1CC(C)CN(C1)S(=O)(=O)C1=CC2=C(NC(=O)C2=O)C=C1,322.3860000000001,1,4,2,1.488,-0.633468456
CN1C(=O)C(=O)C2=C1C=CC(=C2)S(=O)(=O)N1CCN(C)CC1,323.37400000000014,0,5,2,-0.21819999999999928,-1.072984745
CN1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(=O)C2=O,399.47200000000015,0,5,4,1.3521999999999992,-1.827369273
CN1C(=O)C(=O)C2=C1C=CC(=C2)S(=O)(=O)N1CCOCC1,310.33100000000013,0,5,2,-0.13339999999999996,-0.996073654
O=C1N(CC2=CC=CC=C2)C2=C(C=C(C=C2)S(=O)(=O)N2CCOCC2)C1=O,386.42900000000026,0,5,4,1.437,-1.14176323
CC1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(=O)C2=O,398.48400000000015,0,4,4,2.8367000000000013,-0.017033339
CC1CCN(CC1)S(=O)(=O)C1=CC2=C(C=C1)N(C)C(=O)C2=O,322.3860000000001,0,4,2,1.2663000000000002,-1.2509077
CC1CC(C)CN(C1)S(=O)(=O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)C(=O)C2=O,412.5110000000002,0,4,4,3.0827000000000018,-0.450249108
CN1CCN(CC1)S(=O)(=O)C1=CC=C2N(CC3=CC=C4C=CC=CC4=C3)C(=O)C(=O)C2=C1,449.53200000000015,0,5,4,2.5054,-1.918606915
O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCN(CCC2=CC=CC=C2)CC1,539.6570000000003,0,5,7,4.118300000000004,-1.14176323
O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCN(CC1)C1=CC=CC=N1,512.5910000000003,0,6,5,3.4752000000000027,-0.741939078
O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCCCC1,434.51700000000034,0,4,4,3.7439000000000027,-1.146128036
O=C1N(CC2=CC=C3C=CC=CC3=C2)C2=CC=C(C=C2C1=O)S(=O)(=O)N1CCOCC1,436.4890000000003,0,5,4,2.590200000000001,-1.600646236
CC1CCN(CC1)S(=O)(=O)C1=CC=C2N(CC3=CC=C4C=CC=CC4=C3)C(=O)C(=O)C2=C1,448.54400000000015,0,4,4,3.989900000000003,-0.227886705
CC1CC(C)CN(C1)S(=O)(=O)C1=CC=C2N(CC3=CC=C4C=CC=CC4=C3)C(=O)C(=O)C2=C1,462.5710000000002,0,4,4,4.2359000000000036,-0.672097858
CC1=C(CN2C(=O)C(=O)C3=CC(=CC=C23)C#N)C(C)=NO1,281.271,0,5,2,1.89262,-0.857332496
FC1=CC(Cl)=C(CN2C(=O)C(=O)C3=CC(I)=CC=C23)C=C1,415.589,0,2,2,3.813200000000002,-0.973127854
O=C1N(CC2=CC3=CC=CC=C3S2)C2=CC=CC=C2C1=O,293.34700000000004,0,3,2,3.6308000000000025,-1.117602692
[O-][N+](=O)C1=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=CC=C1,338.3440000000001,0,5,3,3.5390000000000015,-0.301029996
BrC1=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=CC=C1,372.2430000000001,0,3,2,4.393300000000002,0.008773924
FC1=CC=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,311.3370000000001,0,3,2,3.7699000000000016,-0.683047038
IC1=CC=C2N(CC3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,419.24300000000017,0,3,2,4.235400000000002,0.022276395
ClC1=C2C(=O)C(=O)N(CC3=CC4=CC=CC=C4S3)C2=CC=C1,327.79200000000003,0,3,2,4.284200000000002,-1.049218023
IC1=CC=C2N(C\C=C\C3=CC4=CC=CC=C4S3)C(=O)C(=O)C2=C1,445.2810000000002,0,3,3,4.748600000000002,-1.371067862
ClC1=CC=C(NC(=O)C2=CC=C(CN3C(=O)C(=O)C4=CC(I)=CC=C34)S2)C=C1,522.7510000000001,1,4,4,4.987900000000002,-1.099335278
IC1=CC=C2N(CC3=CC=C(S3)C(=O)N3CCCCC3)C(=O)C(=O)C2=C1,480.3270000000004,0,4,3,3.708300000000002,-1.243038049
